Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Algeria,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2117152305,2204321787,2181745518,1977304863,2144745522,2528542089,2223135344,2168576028,2399355663,2621518407,2954761937,2960671622,2717896517,2660820535,2910937713,3347578452,3304059845,3869054228,3605958541,4157669971,3899894548,4500478155,4707500556,4533322927,4125323849,4742472214,5875922917,5085611581,5665371030,5818336088,5527419424,6234929111,6160109961,7361331404,7758843300,7937296696,8580217728,8794723171,8460523691,10245694189,10747733205,11994470256,12858072115,13989582461
Algeria,"Mining, Manufacturing, Utilities (ISIC C-E)",19949398126,14820085549,21998778113,23499107840,22402349139,21388494283,23636347703,25498269096,27724011094,28197607917,27605660412,26990919872,29607252147,30926514552,32174095294,32868280164,33677410516,33648341770,33387871579,34015171207,34838183008,34442251925,34520433494,34003360663,33316376002,34458109090,35975607464,37641481870,39135469391,40935143418,43139584476,42645416380,44364433236,47805447217,49509107154,52270175547,51175571707,51007670017,49886531682,46837829968,46177972057,45123106797,44122263803,42666690884
Algeria,Manufacturing (ISIC D),1357097913,1336203138,1536651317,1765077244,1842635815,1960921489,2186160078,2268322582,2534996572,2876246305,3046870879,3385073742,3649109235,4035915002,4427398422,4520373907,4787076216,4777501729,4710616819,4479796802,4636589460,4604133313,4346301932,4289799979,4101048814,4043634261,3691837967,3551548137,3849878234,3911476310,3954502612,4120859878,4339889075,4411691946,4517794078,4601339883,4734247714,4861940627,5152293965,5632416296,5782717385,5987597395,6239722323,6888653445
Algeria,Construction (ISIC F),1627369558,1543260647,1850396058,1706307840,1863839696,2105825171,2381247386,2781109425,3200964567,3225057928,3133635692,3022171965,3321703293,3446679059,3562276062,3639383805,3712941514,3710492239,3684681161,3786415146,3874126836,3826752946,3862344976,3808635348,3734141223,3883718518,4132870546,4301918204,4491621358,4814314374,4755522504,5017076242,5548886323,5876270616,6287609560,6897507687,7759696148,8403750928,9202107266,10039499027,11003290934,11575462063,12570951800,13438347474
Algeria,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",2514065763,2702367213,2860733560,2847214481,2554622998,2750649636,3163947176,3542964196,3860662539,4527423644,4551135013,4894130935,5113521323,5474283926,5815953389,6066563585,6028481342,5908816289,5905608473,6293586388,6317317337,6146374034,6378619370,6253883958,6436784780,6619482772,6718011391,6851631802,7162435427,7290980374,7301374669,7719472240,8152252366,8672043089,9278617186,10068168236,10758323127,12187336016,13325155545,14731053216,15860200301,17109909837,18026591973,18315017445
Algeria,"Transport, storage and communication (ISIC I)",1496967140,1566938692,1717483546,2085364281,2666340196,2988633405,3037401456,3195367536,3391499916,3977234045,3998063822,4299376460,4492108312,4809027824,5109171355,5329343031,5295870572,5190734057,5187996588,5528702234,5549546999,5399757244,5603012643,5493816806,5656079213,5812165032,5902735714,6025697908,6274463939,6419354552,6439152959,6683840772,7285386441,7496662648,7908979093,8802693731,9330855355,10077323783,10833123067,11266447990,11964967765,12706795767,13812286998,14502901348
Algeria,Other Activities (ISIC J-P),3052156426,3330068356,3586674640,4059848885,4607506661,4707298704,4387337038,4692089646,5694104892,6677513054,6712486979,7218369354,7541950042,8074049966,8577955176,8947599252,8891471442,8714842964,8710260981,9282602494,9316909053,9065835162,9408347672,9221292658,9497446215,9763470985,9895749164,10130241321,10552812212,10697361385,10916693969,11255305789,11811384721,12274668654,12685517809,13079458038,13732806487,14596273978,15763349265,16990884056,18193765999,19701114425,20603641494,21463890232
Algeria,Total Value Added,30958051864,26309172060,34460289296,36503679963,36582568655,36691280096,38968890285,42049857867,46631276414,49581368874,49268467037,49687386529,53170879546,55800871800,58563670415,60588561002,61318424751,61397940955,60856815054,63406340085,64177068546,63699266551,64784636637,63622482873,63100895667,65583664176,68732721990,70380220918,73603438954,76305078769,78513379313,79894784093,83644895115,89753384381,93615633576,99055299934,1.01237E+11,1.04798E+11,1.07194E+11,1.09667E+11,1.13459E+11,1.17636E+11,1.21193E+11,1.23497E+11
Andorra,Final consumption expenditure,637610265.9,670544393.1,719991311.6,772813203.9,827915532.5,840035503.5,893716534.1,913756143.8,918428102.8,931840442.1,975432297.2,991260195.4,1001703756,1016724587,1013489388,1036837819,1057284817,1123065868,1166269180,1234864896,1279100815,1321832612,1360868556,1354673316,1373533910,1396544232,1450539523,1567713084,1605169881,1667057480,1684448148,1771437008,1869145737,2073416148,2262068361,2435575635,2534867245,2538080405,2347098105,2289034653,2199744437,2109722148,2070523469,2052747877
Andorra,Household consumption expenditure (including Non-profit institutions serving households),552071562.2,579465362.5,622636105.8,668017094.8,712681286.7,717676364.2,757173286.2,770780924.1,768020347.2,775034625,807077494.1,811563289.7,817581694.2,823751417.4,820151332.9,835449521.7,852017405.7,899238102.7,933348015.7,982739063.6,1010604772,1035112679,1056352732,1044167762,1065736679,1082896403,1124335720,1221427157,1250875876,1300187017,1315730521,1384114893,1455551277,1606208089,1745218074,1873292032,1945321932,1937149962,1763787597,1676792798,1619454436,1559454058,1551654538,1538086618
